district,year,AvgRain,AvgTemp
AMRITSAR,1998,21.14916667,27.10916667
AMRITSAR,1999,26.2825,27.5775
AMRITSAR,2000,33.02083333,26.97333333
AMRITSAR,2001,45.05583333,26.55125
AMRITSAR,2002,33.74583333,27.36916667
AMRITSAR,2003,54.88166667,25.93083333
AMRITSAR,2004,42.83916667,26.97333333
AMRITSAR,2005,52.91583333,25.56041667
AMRITSAR,2006,70.41083333,25.94375
AMRITSAR,2007,55.90916667,25.94083333
AMRITSAR,2008,78.35166667,25.32708333
AMRITSAR,2009,36.28416667,26.58416667
AMRITSAR,2010,58.83083333,26.36833333
AMRITSAR,2011,56.71333333,25.53291667
AMRITSAR,2012,43.16083333,25.68208333
BATHINDA,1998,27.87583333,27.08041667
BATHINDA,1999,16.4825,28.14166667
BATHINDA,2000,20.26666667,27.59791667
BATHINDA,2001,30.40833333,27.29583333
BATHINDA,2002,18.275,28.13958333
BATHINDA,2003,37.2525,26.53791667
BATHINDA,2004,27.58,27.69083333
BATHINDA,2005,34.2425,26.375
BATHINDA,2006,32.12666667,27.20625
BATHINDA,2007,34.32166667,27.13208333
BATHINDA,2008,49.255,26.26333333
BATHINDA,2009,28.33083333,27.18125
BATHINDA,2010,42.1275,27.01166667
BATHINDA,2011,43.3875,26.29458333
BATHINDA,2012,32.535,26.11958333
FARIDKOT,1998,23.385,27.16416667
FARIDKOT,1999,19.7675,27.97625
FARIDKOT,2000,22.84083333,27.435
FARIDKOT,2001,32.3675,27.11625
FARIDKOT,2002,22.02416667,27.93333333
FARIDKOT,2003,37.48166667,26.46666667
FARIDKOT,2004,31.17583333,27.50583333
FARIDKOT,2005,40.05083333,26.1
FARIDKOT,2006,43.10666667,26.76416667
FARIDKOT,2007,36.405,26.8725
FARIDKOT,2008,56.525,25.96291667
FARIDKOT,2009,29.8275,27.00041667
FARIDKOT,2010,41.98083333,26.90458333
FARIDKOT,2011,45.48916667,26.09208333
FARIDKOT,2012,33.44083333,26.00541667
FATEHGARH SAHIB,1998,47.61583333,26.00708333
FATEHGARH SAHIB,1999,33.88083333,27.225
FATEHGARH SAHIB,2000,53.16583333,26.38208333
FATEHGARH SAHIB,2001,49.18416667,26.37166667
FATEHGARH SAHIB,2002,40.61083333,27.21166667
FATEHGARH SAHIB,2003,63.49083333,25.7175
FATEHGARH SAHIB,2004,52.715,26.535
FATEHGARH SAHIB,2005,53.77583333,25.74166667
FATEHGARH SAHIB,2006,51.31083333,26.45958333
FATEHGARH SAHIB,2007,48.4525,26.35916667
FATEHGARH SAHIB,2008,95.92416667,24.92833333
FATEHGARH SAHIB,2009,49.95833333,26.36416667
FATEHGARH SAHIB,2010,73.59166667,26.16833333
FATEHGARH SAHIB,2011,72.88,25.13291667
FATEHGARH SAHIB,2012,45.86166667,25.75541667
FIROZPUR,1998,23.385,27.16416667
FIROZPUR,1999,19.7675,27.97625
FIROZPUR,2000,22.84083333,27.435
FIROZPUR,2001,32.3675,27.11625
FIROZPUR,2002,22.02416667,27.93333333
FIROZPUR,2003,37.48166667,26.46666667
FIROZPUR,2004,31.17583333,27.50583333
