district,year,crop,season,area,production,yield,AvgRain,AvgTemp,district_encoded,crop_encoded,season_encoded
AMRITSAR,2004,Urad,Kharif,300,100,0.333333333,42.83916667,26.97333333,0,20,0
AMRITSAR,2006,Urad,Kharif,300,100,0.333333333,70.41083333,25.94375,0,20,0
AMRITSAR,2005,Urad,Kharif,200,100,0.5,52.91583333,25.56041667,0,20,0
AMRITSAR,2008,Urad,Kharif,200,100,0.5,78.35166667,25.32708333,0,20,0
AMRITSAR,2012,Urad,Kharif,200,100,0.5,43.16083333,25.68208333,0,20,0
AMRITSAR,2008,Moong,Kharif,100,100,1,78.35166667,25.32708333,0,11,0
AMRITSAR,2009,Arhar (Tur),Kharif,100,100,1,36.28416667,26.58416667,0,0,0
AMRITSAR,2010,Arhar (Tur),Kharif,100,100,1,58.83083333,26.36833333,0,0,0
AMRITSAR,2010,Moong,Kharif,100,100,1,58.83083333,26.36833333,0,11,0
AMRITSAR,2005,Masoor,Rabi,100,100,1,52.91583333,25.56041667,0,10,1
AMRITSAR,2006,Masoor,Rabi,100,100,1,70.41083333,25.94375,0,10,1
AMRITSAR,2006,Peas & Beans (Pulses),Rabi,100,100,1,70.41083333,25.94375,0,14,1
AMRITSAR,2007,Masoor,Rabi,100,100,1,55.90916667,25.94083333,0,10,1
AMRITSAR,2008,Masoor,Rabi,100,100,1,78.35166667,25.32708333,0,10,1
AMRITSAR,2012,Gram,Rabi,100,100,1,43.16083333,25.68208333,0,4,1
AMRITSAR,2007,Urad,Kharif,500,200,0.4,55.90916667,25.94083333,0,20,0
AMRITSAR,1998,Urad,Kharif,400,200,0.5,21.14916667,27.10916667,0,20,0
AMRITSAR,1999,Urad,Kharif,400,200,0.5,26.2825,27.5775,0,20,0
AMRITSAR,2010,Urad,Kharif,300,200,0.666666667,58.83083333,26.36833333,0,20,0
AMRITSAR,2006,Arhar (Tur),Kharif,200,200,1,70.41083333,25.94375,0,0,0
AMRITSAR,2007,Arhar (Tur),Kharif,200,200,1,55.90916667,25.94083333,0,0,0
