,year,area,production,AvgRain,AvgTemp,district_encoded,crop_encoded,season_encoded
0,2004,300,100,42.83916667,26.97333333,0,20,0
1,2006,300,100,70.41083333,25.94375,0,20,0
2,2005,200,100,52.91583333,25.56041667,0,20,0
3,2008,200,100,78.35166667,25.32708333,0,20,0
4,2012,200,100,43.16083333,25.68208333,0,20,0
5,2008,100,100,78.35166667,25.32708333,0,11,0
6,2009,100,100,36.28416667,26.58416667,0,0,0
7,2010,100,100,58.83083333,26.36833333,0,0,0
8,2010,100,100,58.83083333,26.36833333,0,11,0
9,2005,100,100,52.91583333,25.56041667,0,10,1
10,2006,100,100,70.41083333,25.94375,0,10,1
11,2006,100,100,70.41083333,25.94375,0,14,1
12,2007,100,100,55.90916667,25.94083333,0,10,1
13,2008,100,100,78.35166667,25.32708333,0,10,1
14,2012,100,100,43.16083333,25.68208333,0,4,1
15,2007,500,200,55.90916667,25.94083333,0,20,0
16,1998,400,200,21.14916667,27.10916667,0,20,0
17,1999,400,200,26.2825,27.5775,0,20,0
18,2010,300,200,58.83083333,26.36833333,0,20,0
19,2006,200,200,70.41083333,25.94375,0,0,0
20,2007,200,200,55.90916667,25.94083333,0,0,0
21,2008,200,200,78.35166667,25.32708333,0,0,0
22,2009,200,200,36.28416667,26.58416667,0,20,0
23,2012,200,200,43.16083333,25.68208333,0,0,0
24,1998,200,200,21.14916667,27.10916667,0,4,1
25,2004,200,200,42.83916667,26.97333333,0,4,1
26,2003,800,300,54.88166667,25.93083333,0,20,0
27,2002,700,300,33.74583333,27.36916667,0,20,0
28,2002,500,300,33.74583333,27.36916667,0,10,1
29,1998,400,300,21.14916667,27.10916667,0,14,1
30,2003,400,300,54.88166667,25.93083333,0,10,1
31,2000,300,300,33.02083333,26.97333333,0,13,1
32,2001,300,300,45.05583333,26.55125,0,15,1
33,2002,300,300,33.74583333,27.36916667,0,4,1
34,2003,300,300,54.88166667,25.93083333,0,4,1
35,2012,300,300,43.16083333,25.68208333,0,6,2
36,2012,1200,400,43.16083333,25.68208333,0,17,0
37,2000,500,400,33.02083333,26.97333333,0,10,1
38,2001,500,400,45.05583333,26.55125,0,4,1
39,1999,400,400,26.2825,27.5775,0,4,1
40,2010,1500,500,58.83083333,26.36833333,0,17,0
41,2001,600,500,45.05583333,26.55125,0,10,1
42,1999,500,500,26.2825,27.5775,0,10,1
43,2000,500,500,33.02083333,26.97333333,0,4,1
44,2010,400,500,58.83083333,26.36833333,0,14,1
45,2007,1900,600,55.90916667,25.94083333,0,17,0
46,2009,1600,600,36.28416667,26.58416667,0,17,0
47,1998,700,600,21.14916667,27.10916667,0,10,1
48,1999,600,600,26.2825,27.5775,0,14,1
49,2008,2000,700,78.35166667,25.32708333,0,17,0
50,1998,1100,700,21.14916667,27.10916667,0,0,0
51,2006,2100,800,70.41083333,25.94375,0,17,0
52,2005,1100,900,52.91583333,25.56041667,0,0,0
53,2002,1200,1000,33.74583333,27.36916667,0,0,0
54,2002,1000,1000,33.74583333,27.36916667,0,3,0
55,2008,1000,1000,78.35166667,25.32708333,0,1,0
56,2006,1000,1000,70.41083333,25.94375,0,15,1
57,2008,1000,1000,78.35166667,25.32708333,0,15,1
58,2010,1000,1000,58.83083333,26.36833333,0,15,1
59,2012,1000,1000,43.16083333,25.68208333,0,15,1
60,2005,1500,1100,52.91583333,25.56041667,0,11,0
61,2001,1400,1100,45.05583333,26.55125,0,0,0
62,2004,1400,1100,42.83916667,26.97333333,0,0,0
