district_encoded,year,crop_encoded,season_encoded,area,AvgRain,AvgTemp
14,2003,11,0,300,59.54583333,25.72875
0,2002,3,0,1000,33.74583333,27.36916667
1,2002,5,0,700,18.275,28.13958333
4,2003,5,0,100,37.48166667,26.46666667
14,2012,15,1,1000,40.70416667,25.77708333
0,2002,11,0,1800,33.74583333,27.36916667
9,2007,3,0,3000,41.69833333,26.48791667
12,2007,4,1,200,34.32166667,27.13208333
8,2003,15,1,1000,45.74166667,26.11833333
14,2000,10,1,1200,45.66416667,26.55958333
16,1998,0,0,1700,38.12583333,26.315
0,2004,18,2,7000,42.83916667,26.97333333
12,2003,15,1,3000,37.2525,26.53791667
10,2006,4,1,400,27.7025,27.3375
14,2000,18,2,3000,45.66416667,26.55958333
0,2004,15,1,2000,42.83916667,26.97333333
13,2010,15,1,1000,62.85666667,26.25416667
11,2008,15,1,1000,65.0225,25.5625
7,2007,0,0,900,50.2,26.05
6,2005,9,0,66000,58.44416667,24.74875
2,2012,11,0,400,33.44083333,26.00541667
11,2006,0,0,800,45.6375,26.59416667
16,2010,16,0,272000,52.72333333,26.49541667
6,2007,4,1,100,62.96083333,25.07583333
12,2000,18,2,4000,20.26666667,27.59791667
15,2003,17,0,300,84.2275,21.50958333
9,2010,14,1,300,55.99666667,26.42875
12,2012,16,0,118000,32.535,26.11958333
15,2002,0,0,300,58.14833333,22.6375
5,2009,17,0,900,43.18583333,25.03
0,2007,16,0,178000,55.90916667,25.94083333
6,2005,16,0,61000,58.44416667,24.74875
1,1998,4,1,3800,27.87583333,27.08041667
7,2007,17,0,600,50.2,26.05
15,2006,21,1,57000,74.93,22.07166667
11,2007,0,0,600,38.51916667,26.66958333
7,2003,16,0,138000,53.6325,25.81208333
12,2008,16,0,95000,49.255,26.26333333
10,2002,16,0,88000,19.445,28.05
6,2001,5,0,300,52.39333333,25.55375
14,1999,18,2,3000,27.9,27.38375
2,2002,5,0,200,22.02416667,27.93333333
0,2005,0,0,1100,52.91583333,25.56041667
16,2003,11,0,3100,47.79916667,26.00041667
14,2010,15,1,1000,65.97416667,26.23458333
2,2003,2,1,1000,37.48166667,26.46666667
7,2003,21,1,169000,53.6325,25.81208333
16,2004,0,0,1800,36.56,26.97916667
6,2005,18,2,21000,58.44416667,24.74875
1,2003,12,0,100,37.2525,26.53791667
12,2005,18,2,1000,34.2425,26.375
2,2006,6,2,100,43.10666667,26.76416667
4,2000,21,1,378000,22.84083333,27.435
5,2010,20,0,1800,79.73166667,24.80083333
6,2003,0,0,100,63.92416667,25.03416667
4,2010,4,1,1100,41.98083333,26.90458333
1,2000,4,1,1100,20.26666667,27.59791667
6,2006,15,1,4000,79.065,25.21916667
5,1999,17,0,2400,30.54916667,25.92708333
13,1999,9,0,18000,32.2,27.14458333
11,2010,3,0,3000,47.2375,26.66083333
2,2005,15,1,1000,40.05083333,26.1
13,2001,18,2,12000,45.6625,26.32708333
9,2010,11,0,1300,55.99666667,26.42875
14,1999,11,0,200,27.9,27.38375
14,2004,16,0,250000,46.67416667,26.60041667
14,2008,14,1,1200,81.345,25.10541667
9,2000,2,1,3000,37.05166667,26.77541667
9,2004,9,0,2000,40.8975,26.84208333
9,2009,14,1,300,38.80333333,26.57625
14,2001,9,0,5000,45.4125,26.4175
12,2000,3,0,87000,20.26666667,27.59791667
3,2005,16,0,85000,53.77583333,25.74166667
7,2003,19,1,5000,53.6325,25.81208333
6,2009,18,2,1400,45.20583333,25.605
6,2006,16,0,56000,79.065,25.21916667
8,2006,14,1,100,60.74583333,26.1925
1,2010,16,0,107000,42.1275,27.01166667
5,2002,15,1,3000,42.1575,25.71625
4,2008,14,1,100,56.525,25.96291667
9,2001,21,1,257000,40.48583333,26.56375
12,2006,21,1,202000,32.12666667,27.20625
7,2009,14,1,100,42.17916667,26.33958333
7,2008,9,0,12000,90.14333333,24.945
6,2012,14,1,200,50.80416667,24.88833333
0,2010,17,0,1500,58.83083333,26.36833333
16,2005,16,0,367000,42.3725,25.96541667
0,2012,20,0,200,43.16083333,25.68208333
1,2003,1,0,1000,37.2525,26.53791667
2,2000,21,1,111000,22.84083333,27.435
3,1998,15,1,1000,47.61583333,26.00708333
15,2009,21,1,65000,67.74,22.09
1,2010,15,1,2000,42.1275,27.01166667
6,2008,17,0,500,101.3833333,24.3025
14,2003,16,0,246000,59.54583333,25.72875
1,2012,16,0,107000,32.535,26.11958333
10,2008,4,1,100,50.12666667,26.17208333
9,2006,5,0,200,47.61583333,26.48833333
5,1999,20,0,1900,30.54916667,25.92708333
7,1998,15,1,2000,32.34416667,26.38291667
16,2007,4,1,200,38.79416667,26.70541667
10,2009,5,0,100,29.43666667,27.17791667
1,2004,16,0,102000,27.58,27.69083333
6,2006,17,0,800,79.065,25.21916667
3,2003,16,0,83000,63.49083333,25.7175
